言为心声 言语是思想的反映，从一个人的话里可以知道他的思想感情。
出入将相 犹出将入相。
水火无交 没有财物牵涉。形容为官清正廉洁。
出将入相 出征可为将帅，入朝可为丞相。指兼有文武才能的人，也指文武职位都很高。
三马同槽 隐指司马懿父子三人将篡夺魏的政权。也泛指阴谋篡权。
餐风宿露 形容旅途或野外生活的艰苦。
黄风雾罩 犹言不守本分，胡乱行事。
急不可待 急得不能等待。形容心怀急切或形势紧迫。
不入时宜 时宜当时的需要和潮流。不适合时代形势的需要。也指不合世俗习尚。
计出万死 指谋划来自必死的决心。
谩不经意 指随随便便不放在心上。谩，通漫”。
道头知尾 说个开头就知道结果。形容思维敏捷、悟性好。
风刀霜剑 寒风象刀，严霜象剑。形容气候寒冷，刺人肌肤。也比喻恶劣的环境。
直言无隐 直率地说话，无所隐讳。同直言无讳”。
不耻下问 乐于向学问或地位比自己低的人学习，而不觉得不好意思。
各不相让 让歉让。互不谦让、让步。
少不经事 少年轻；更经历。年纪轻，没有经历过什么事情。指经验不多。
岁月不居 居停留。指时光流逝。
无奇不有 什么奇怪的事物都有。
以古为镜 借历史上的成败得失作为鉴戒。同以古为鉴”。
三命而俯 旧是指官职步步上升，态度也愈加谦虚。
满舌生花 比喻能说会道。
深山长谷 与山外距离远、人急至的山岭、山谷。
名不虚传 虚假。传出的名声不是虚假的。指实在很好，不是空有虚名。
如日中天 好象太阳正在天顶。比喻事物正发展到十分兴盛的阶段。
断线风筝 象放上天断了线的风筝一样。比喻一去不回来的人或东西。
要而论之 犹言要而言之。概括地说，简单地说。
异地相逢 异地他乡。在他乡相遇。
善自为谋 善于替自己打算。也指替自己好好地想办法。
一无长物 一无全无；长物多余的东西。除一身之外再没有多余的东西。原指生活俭朴。现形容贫穷。
半面不忘 见过面就不遗忘。形容记忆力极强。
三复斯言 三复多次反复；斯言这句话。反复朗读并体会这句话。形容对它极为重视。
十死不问 指即使犯十次死罪也予宽恕。
不刊之书 指不能更改或磨灭的有关帝王的记载、钦定典制。
不胜其苦 不能忍受那种苦楚。
一哄而上 没有经过认真准备和严密组织，一下子行动起来。同一哄而起”。
没世不忘 一辈子也忘不了。
花天锦地 形容繁华热闹。
二三其意 即三心二意。指心意不专一，反复无常。
驷马不追 指话说出口，就不能再收回，一定要算数。同驷马难追”。
不乏其人 乏缺少；其那，那些。那样的人并不少。
一家之计 指一夫一妻的家庭。
天年不齐 指命运和流年不相配合，以致运道不好。
日月其除 日月流逝。指光阴不待人。
恶言厉色 说话和脸色都很严厉。
望风承旨 指说话行事同机迎合他人意旨。见望风希指”。
祸福相生 指祸害与幸福是相互转化、相互依存的。
死重泰山 比喻死得光荣。
操身行世 犹言立身处世。
出没不常 出现隐没都无规律，捉摸不定。
见所不见 看到从来没有看到过的。形容事物十分稀罕。同见所未见”。
不测之罪 指大罪，死罪。
月下老人 原指主管婚姻的神仙◇泛指媒人。简称月老”。
日暮道远 比喻处境十分困难，到了末日。也形容穷困到极点。同日暮途远”。
足不履影 比喻循规蹈矩。
作言造语 指编造虚诞的言辞。
顺风张帆 比喻趁着有利的情势行事。同顺风使帆”。
垂手而得 垂垂下。手不动就能得到。形容毫不费力。
千古一时 喻指难得的机会。
交口同声 犹言众口一词。所有的人都说同样的话。
以一奉百 奉供养。用一个人生产的物品供养一百个人。指生产的人少，消费的人多。
百无一失 形容有充分把握，绝对不会出差错。
沉重少言 朴实稳重，不爱多说话。亦作沉厚寡言”、沉重寡言”。
行远升高 比喻为学由浅入深，逐步提高。
出口入耳 指品德、才能超出同类之上。
道远日暮 暮太阳落山。道路很遥远，而且太阳西沉了。比喻还有很多事要做，可时间不多了。
不急之务 急急迫，要紧；务事情。无关紧要的或不急于做的事情。
轻死重气 指以义气为重而不怕死。
众口同声 大家所说的都一样。
以古为鉴 借历史上的成败得失作为鉴戒。
言之有序 说话和写文章很有条理。
火海刀山 比喻极其危险和困难的地方。
刀山火海 比喻极其危险和困难的地方。
面不改容 指脸色不改变。形容遇到危难时，镇定自若。
臭不可当 当承受。臭得使人受不了。比喻人名声极坏。
意气高昂 意态和气慨雄健的样子。
日久月深 深长久。指时间长久。
文丝不动 一点儿也不动。
出言吐词 犹言谈吐。指说话。
万无一失 失差错。指非常有把握，绝对不会出差错。
不顾一切 什么都不顾。
万口一辞 千千万万人说同样的话。比喻意见一致。
身无分文 形容非常贫穷。
长年三老 古时指船工。
四战之地 指四面平坦，无险可守，容易受攻击的地方。
正言厉色 正严正；厉严厉，严肃；色脸色。形容板着脸，神情非常严厉。
浑然自成 形容诗文结构严密自然，用词运典毫无斧凿痕迹。亦形容人的才德完美自然。同浑然天成”。
直言正论 正直公道的言论。
力可拔山 力气大得可以拔起山来，形容勇力过人。
万口一谈 千千万万人说同样的话。比喻意见一致。
风驰电击 形容迅速出击。
事不有余 谓达到极点。
目不暇接 指东西多，眼睛都看不过来。
自相惊忧 自己人互相惊动扰乱，造成不安。
捉风捕影 比喻虚幻无实或无根据地臆测。
捉影捕风 比喻虚幻无实或无根据地臆测。
捕风捉影 风和影子都是抓不着的。比喻说话做事丝毫没有事实根据。
有天无日 比喻社会非弛暗，没有公道。
来历不明 来历由来。人或事物的来历与经过不清楚。
罗之一目 网之一孔。比喻局部在整体中才能起其作用；脱离了整体，局部便不起作用。
金光盖地 比喻钱神的本领高强。
想望风褱 犹言想望风采。非常仰慕其人，渴望一见。
以防万一 万一意外变化。用以防备难以预料的事情。
一拥而入 拥拥挤。一下子全都拥了进去，挤了进去。
五行并下 五行文字一并看。形容读书速度快。
门不夜关 形容社会安宁，风气良好。
言简意少 简简练。语言简洁，内容贫乏。
如不胜衣 胜能承受，能承担。身体不能承受衣服的重量。形容身体瘦弱。也形容谦退的样子。
祸从口生 指言语不慎招致灾祸。
白头之叹 指妇女被遗弃而作晚景凄凉之叹。
锐不可当 锐锐气；当抵挡。形容勇往直前的气势，不可抵挡。
臭不可闻 臭得使人受不了。比喻人名声极坏。
侧目而视 侧斜着。斜着眼睛看人。形容憎恨或又怕又愤恨。
乐山爱水 爱好山水风光。
战无不胜 形容强大无比，可以战胜一切。也比喻办任何事情都能成功。
计日以俟 数着日子等待。极言盼望之殷切。
一病不起 得病后就再也起不了床。比喻得病后病情一天天恶化，终至死亡。
三十六行 旧时对各行各业的通称。
餐风茹雪 形容野外生活的艰苦。
贫而乐道 家境贫穷，却以获得知识、懂得道理为乐事。
握风捕影 犹言捕风捉影。比喻说话做事丝毫没有事实根据。
悔之不及 后悔也来不及了。
武不善作 意思是既动武就不能讲斯文。
一不扭众 一个人难违反众人的意见。
掀风鼓浪 比喻煽动情绪，挑起事端。
文武之道 指周文王、周武王治理国家的方法。
自鸣得意 鸣表示，以为。自以为了不起，表示很得意。
不媿下学 犹言不耻下问。
接风洗尘 指设宴款待远来的客人，以示慰问和欢迎。
坐立不安 坐着也不是，站着也不是。形容心情紧张，情绪不安。
见惯不惊 经常看到，习以为常。
盛水不漏 比喻说理严密。
机不容发 比喻时机紧迫。
见义当为 指看到正义的事情就去做。同见义必为”。
无端生事 无端没有理由。无缘无故地捣乱闹事。
水远山遥 指路程遥远。
山遥水远 指道路遥远。
万家生佛 旧时指受百姓爱戴的地方官。
一面之交 只见过一面的交情。比喻交情很浅。
同恶相求 坏人与坏人相互勾结。
间不容发 间空隙。空隙中容不下一根头发。比喻与灾祸相距极近或情势危急到极点。
时不再来 时时机。时机错过就不会再来了。指行事不要放过时机。
一窍不通 窍洞，指心窍。没有一窍是贯通的。比喻一点儿也不懂。
以为后图 为以后作打算。
天高地迥 迥远。形容极其高远。
百折不摧 受到无数挫折都不屈服、动摇。形容意志坚强。
一得之功 一得一点心得，一点收获；功成绩。一点微小的成绩。
酒后失言 酒喝多了以后，不能自持，说了不该说的话。
来日大难 表示前途困难重重。
见几而作 几苗头；作行动。指发现一点苗头就立刻采取措施。
以筌为鱼 筌捕鱼的竹器。把捕鱼工具看作是鱼。比喻满足对事物表面肤浅认识，不去更深入了解事物本质。
顺风转舵 随着风向转换舵位。比喻顺着情势改变态度（含贬义）。
不知所厝 厝放置；安排。不知道怎么办才好。形容处境为难或心神慌乱。
百里之才 百里方圆百里之地。指能治理方圆百里地区的人才◇称才能平常的人。
三不拗六 指少数人拗不过多数人。
无远不届 不管多远之处，没有不到的。同无远弗届”。
不法常可 法当做模式、法则；常可长久被人们认可的成规惯例。不把常规惯例当做永远不变的模式。
不成体统 体统格局，规矩。指言行没有规矩，不成样子。
词言义正 词言词，语言。义道理。言辞严厉，义理正大。
不甘后人 不甘心落在别人后面。
恶不去善 不因为厌恶某人而否定他的优点。
一言半句 指很少的一两句话。同一言半语”。
